,colony_id,chla.ug.cm2,chlc2.ug.cm2
1,15OFA1AT,4.281251264,0.963301256
2,15OFA1ML,6.866069176,1.558960887
3,15OFA2ML,4.597065176,0.904600687
4,15OFA3ML,3.160481538,0.790287196
5,15OFA3T,1.063439275,0.265915948
6,15OFA4ML,5.505999878,1.205691479
7,15OFA4T,4.58312303,0.683848016
8,15OFA5ML,5.478747284,1.581768659
9,15OFA5T,6.282977066,0.818230067
10,15OFA6ML,5.081889009,1.180819373
11,30OFA1ML,7.014889846,1.641135243
12,30OFA1T,1.383221214,0.256731035
13,30OFA2ML,0.397365668,0.094047604
14,30OFA2T,6.855125252,1.835168987
15,30OFA3ML,6.093602973,1.13150015
16,30OFA3T,6.70732203,1.384853952
17,30OFA4ML,0.151144,0.097471243
18,30OFA4T,8.680461403,1.462157235
19,30OFA5ML,1.210457625,0.309157117
20,30OFA5T,3.417618976,0.723624217
21,45OFA1ML,4.270648162,0.489005515
22,45OFA1T,3.677296076,0.617875005
23,45OFA2ML,5.157431758,1.313369607
24,45OFA2T,2.75608442,0.670515453
25,45OFA3ML,2.686039808,0.656577613
26,45OFA3T,5.696992539,1.206243818
27,45OFA4ML,6.308153821,1.407959721
28,45OFA4T,7.063695252,1.714973192
29,45OFA5ML,5.31311604,1.514633992
30,45OFA5T,6.294094961,1.119492611
31,45OFA6T,5.407409114,1.29592251
32,55OFA1ML,5.351522312,2.006342999
33,55OFA1T,7.228757113,1.392255877
34,55OFA2ML,3.693071745,0.729078719
35,55OFA2T,2.702913992,0.370256894
36,55OFA3ML,12.01048743,1.947793956
37,55OFA3T,7.033012587,1.547669711
38,55OFA4ML,5.930667505,1.145613423
39,55OFA4T,2.820180426,0.536171435
40,55OFA5ML,4.86845105,1.233150406
41,55OFA5T,5.291796327,0.76303405
42,15OFR1ML,7.665484642,2.514917951
43,15OFR2ML,6.175297843,1.571067527
44,15OFR2T,5.422281845,1.103918478
45,15OFR3ML,4.061487108,0.85995263
46,15OFR3T,4.150932816,0.94309298
47,15OFR4ML,4.984297134,1.199562053
48,15OFR4T,2.192445157,0.386675922
49,15OFR5ML,5.625823765,1.465614259
50,15OFR5T,4.673094136,0.692941595
51,30OFR1ML,5.252397132,1.297473714
52,30OFR1T,6.525986413,1.190552857
53,30OFR2ML,2.48694645,0.62032113
54,30OFR2T,2.769321617,0.372460978
55,30OFR3ML,3.114651837,0.659475943
56,30OFR3T,5.303414397,1.520461273
57,30OFR4ML,3.681810944,0.85853855
58,30OFR4T,5.075991289,1.040509478
59,30OFR5ML,2.434384061,0.565649477
60,30OFR5T,1.662687044,0.332678266
61,45OFR1ML,5.091438703,1.354177596
62,45OFR1T,3.739707935,0.681868422
63,45OFR2ML,4.304240571,1.138943639
64,45OFR2T,4.291990488,0.959751761
65,45OFR3T,2.791520778,0.518429121
66,45OFR4ML,8.920894689,1.491877958
67,45OFR4T,2.236473946,0.395760786
68,45OFR5ML,3.305982624,0.661476596
69,45OFR5T,4.262543067,1.039706919
70,45OFR6T,4.00374032,0.98325792
71,45OFR7T,3.663348614,0.684465578
72,45OFR8T,6.915918848,1.036889518
73,55OFR1ML,3.483632096,1.147878235
74,55OFR1T,3.390920462,1.007357685
75,55OFR2ML,2.481077557,0.62229095
76,55OFR2T,3.359329767,0.78056834
77,55OFR3ML,3.573868484,1.101204049
78,55OFR3T,5.469863458,1.449875399
79,55OFR4ML,4.637475327,1.067657266
80,55OFR4T,5.297947002,1.030188592
81,55OFR5ML,3.254067767,0.839515449
82,55OFR5T,5.337457508,1.000155704