well,colony_id,,,,
A1,BK,,,,
A2,BK,,,,
A3,OFAV_PS_0HS3,,,,
A4,OFAV_PS_0HS3,,,,
A5,OFAV_PS_0HS4,,,,
A6,OFAV_PS_0HS4,,,,
A7,OFAV_PS_2HS12,,,,
A8,OFAV_PS_2HS12,,,,
A9,OFAV_PS_2HS48,,,,
A10,OFAV_PS_2HS48,,,,
A11,OFAV_PS_2HS6,,,,
A12,OFAV_PS_2HS6,,,,
B1,OFAV_PS_310,,,,
B2,OFAV_PS_310,,,,
B3,OFAV_PS_313,,,,
B4,OFAV_PS_313,,,,
B5,OFAV_PS_352,,,,
B6,OFAV_PS_352,,,,
B7,OFAV_PS_356,,,,
B8,OFAV_PS_356,,,,
B9,OFAV_PS_357,,,,
B10,OFAV_PS_357,,,,
B11,OFAV_PS_359,,,,
B12,OFAV_PS_359,,,,
C1,OFAV_PS_360,,,,
C2,OFAV_PS_360,,,,
C3,OFAV_PS_362,,,,
C4,OFAV_PS_362,,,,
C5,OFAV_PS_365_P1,,,,
C6,OFAV_PS_365_P1,,,,
C7,OFAV_PS_365_P2,,,,
C8,OFAV_PS_365_P2,,,,
C9,OFAV_PS_367,,,,
C10,OFAV_PS_367,,,,
C11,OFAV_PS_368,,,,
C12,OFAV_PS_368,,,,
D1,OFAV_PS_369,,,,
D2,OFAV_PS_369,,,,
D3,OFAV_PS_370,,,,
D4,OFAV_PS_370,,,,
D5,OFAV_PS_371,,,,
D6,OFAV_PS_371,,,,
D7,OFAV_PS_9AZ5,,,,
D8,OFAV_PS_9AZ5,,,,
D9,OFAV_PS_9AZ9,,,,
D10,OFAV_PS_9AZ9,,,,
D11,OFAV_PS_9EV35,,,,
D12,OFAV_PS_9EV35,,,,
E1,OFAV_PS_9EV4,,,,
E2,OFAV_PS_9EV4,,,,
E3,OFAV_PS_9EV40,,,,
E4,OFAV_PS_9EV40,,,,
E5,OFAV_PS_9EV5,,,,
E6,OFAV_PS_9EV5,,,,
E7,OFAV_PS_9GT35,,,,
E8,OFAV_PS_9GT35,,,,
E9,OFAV_PS_9GT4,,,,
E10,OFAV_PS_9GT4,,,,
E11,OFAV_PS_9GT46,,,,
E12,OFAV_PS_9GT46,,,,
F1,OFAV_PS_9IR44,,,,
F2,OFAV_PS_9IR44,,,,
F3,OFAV_PS_9JQ4,,,,
F4,OFAV_PS_9JQ4,,,,
F5,OFAV_PS_9JQ42,,,,
F6,OFAV_PS_9JQ42,,,,
F7,OFAV_PS_9JQ431,,,,
F8,OFAV_PS_9JQ431,,,,
F9,NA,,,,
F10,NA,,,,
F11,OFAV_PS_AZ,,,,
F12,OFAV_PS_AZ,,,,
G1,OFAV_PS_CX,,,,
G2,OFAV_PS_CX,,,,
G3,OFAV_PS_DW,,,,
G4,OFAV_PS_DW,,,,
G5,OFAV_PS_EV,,,,
G6,OFAV_PS_EV,,,,
G7,OFAV_PS_OHS2,,,,
G8,OFAV_PS_OHS2,,,,
G9,NA,,,,
G10,NA,,,,
G11,NA,,,,
G12,NA,,,,
H1,NA,,,,
H2,NA,,,,
H3,NA,,,,
H4,NA,,,,
H5,NA,,,,
H6,NA,,,,
H7,NA,,,,
H8,NA,,,,
H9,NA,,,,
H10,NA,,,,
H11,NA,,,,
H12,NA,,,,