well,colony_id,,,
A1,BK,,,
A2,BK,,,
A3,OFRA_PP_0CX4,,,
A4,OFRA_PP_0CX4,,,
A5,OFRA_PP_0CX5,,,
A6,OFRA_PP_0CX5,,,
A7,OFRA_PP_0GT1,,,
A8,OFRA_PP_0GT1,,,
A9,OFRA_PP_0GT5,,,
A10,OFRA_PP_0GT5,,,
A11,OFRA_PP_1GT37_P1,,,
A12,OFRA_PP_1GT37_P1,,,
B1,OFRA_PP_1GT37_P2,,,
B2,OFRA_PP_1GT37_P2,,,
B3,OFRA_PP_1GT42_P1,,,
B4,OFRA_PP_1GT42_P1,,,
B5,OFRA_PP_2CX12_P1,,,
B6,OFRA_PP_2CX12_P1,,,
B7,OFRA_PP_2CX12_P2,,,
B8,OFRA_PP_2CX12_P2,,,
B9,OFRA_PP_2GT10,,,
B10,OFRA_PP_2GT10,,,
B11,OFRA_PP_2GT3_P1,,,
B12,OFRA_PP_2GT3_P1,,,
C1,OFRA_PP_2GT3_P2,,,
C2,OFRA_PP_2GT3_P2,,,
C3,OFRA_PP_2GT38,,,
C4,OFRA_PP_2GT38,,,
C5,OFRA_PP_2GT41_P1,,,
C6,OFRA_PP_2GT41_P1,,,
C7,OFRA_PP_2GT41_P2,,,
C8,OFRA_PP_2GT41_P2,,,
C9,OFRA_PP_2GT7_P1,,,
C10,OFRA_PP_2GT7_P1,,,
C11,OFRA_PP_2GT7_P2,,,
C12,OFRA_PP_2GT7_P2,,,
D1,OFRA_PP_2HS11,,,
D2,OFRA_PP_2HS11,,,
D3,OFRA_PP_2HS17_P1,,,
D4,OFRA_PP_2HS17_P1,,,
D5,OFRA_PP_2HS17_P2,,,
D6,OFRA_PP_2HS17_P2,,,
D7,OFRA_PP_2HS27,,,
D8,OFRA_PP_2HS27,,,
D9,OFRA_PP_2HS9_P1,,,
D10,OFRA_PP_2HS9_P1,,,
D11,OFRA_PP_2HS9_P2,,,
D12,OFRA_PP_2HS9_P2,,,
E1,OFRA_PP_4CX12,,,
E2,OFRA_PP_4CX12,,,
E3,OFRA_PP_4HS15,,,
E4,OFRA_PP_4HS15,,,
E5,OFRA_PP_6EV18,,,
E6,OFRA_PP_6EV18,,,
E7,OFRA_PP_6GT17,,,
E8,OFRA_PP_6GT17,,,
E9,OFRA_PP_8CX24,,,
E10,OFRA_PP_8CX24,,,
E11,OFRA_PP_8HS21,,,
E12,OFRA_PP_8HS21,,,
F1,OFRA_PP_8HS23,,,
F2,OFRA_PP_8HS23,,,
F3,OFRA_PP_8HS24,,,
F4,OFRA_PP_8HS24,,,
F5,OFRA_PP_9CX5_P1,,,
F6,OFRA_PP_9CX5_P1,,,
F7,OFRA_PP_9CX5_P2,,,
F8,OFRA_PP_9CX5_P2,,,
F9,OFRA_PP_9GT30_P1,,,
F10,OFRA_PP_9GT30_P1,,,
F11,OFRA_PP_9GT30_P2,,,
F12,OFRA_PP_9GT30_P2,,,
G1,NA,,,
G2,NA,,,
G3,NA,,,
G4,NA,,,
G5,NA,,,
G6,NA,,,
G7,NA,,,
G8,NA,,,
G9,NA,,,
G10,NA,,,
G11,NA,,,
G12,NA,,,
H1,NA,,,
H2,NA,,,
H3,NA,,,
H4,NA,,,
H5,NA,,,
H6,NA,,,
H7,NA,,,
H8,NA,,,
H9,NA,,,
H10,NA,,,
H11,NA,,,
H12,NA,,,