,Calices,Area,D
15OFA1ML,18,2.173,8.283479061
15OFA2ML,17,1.95,8.717948718
15OFA3ML,12,1.373,8.739985433
15OFA4ML,13,1.34,9.701492537
15OFA5ML,18,2.336,7.705479452
15OFA6ML,17,1.822,9.330406147
30OFA1ML,12,1.273,9.426551453
30OFA2ML,9,1.287,6.993006993
30OFA3ML,9,1.015,8.866995074
30OFA4ML,8,1.219,6.562756358
30OFA5ML,15,1.916,7.828810021
45OFA1ML,6,0.65,9.230769231
45OFA2ML,9,1.468,6.130790191
45OFA3ML,16,2.684,5.961251863
45OFA4ML,14,1.901,7.364544976
45OFA5ML,16,2.188,7.31261426
55OFA1ML,13,1.539,8.447043535
55OFA2ML,19,3.174,5.986137366
55OFA3ML,20,2.251,8.884940027
55OFA4ML,14,2.149,6.51465798
55OFA5ML,18,1.863,9.661835749
15OF2AT,NA,NA,#VALUE!
15OF2BT,NA,NA,#VALUE!
15OFA1AT,8,0.592,13.51351351
15OFA1BT,NA,NA,#VALUE!
15OFA3T,18,2.283,7.884362681
15OFA4T,12,1.337,8.975317876
15OFA5T,14,1.962,7.135575943
30OFA1T,12,1.775,6.76056338
30OFA2T,10,1.906,5.246589717
30OFA3T,17,2.247,7.56564308
30OFA4T,16,1.694,9.445100354
30OFA5T,23,2.346,9.803921569
45OFA1T,11,2.059,5.342399223
45OFA2T,14,2.911,4.809343868
45OFA3T,19,3.463,5.486572336
45OFA4T,17,2.623,6.481128479
45OFA5T,13,2.708,4.800590842
45OFA6T,15,2.834,5.292872265
55OFA1T,14,2.184,6.41025641
55OFA2T,6,0.729,8.230452675
55OFA3T,10,2.113,4.732607667
55OFA4T,10,2.358,4.240882103
55OFA5T,18,2.042,8.814887365
15OFR1ML,20,2.783,7.1864894
15OFR2ML,16,1.772,9.029345372
15OFR3ML,19,1.868,10.17130621
15OFR4ML,17,2.167,7.844946931
15OFR5ML,12,1.6,7.5
30OFR1ML,10,1.378,7.256894049
30OFR2ML,12,1.715,6.997084548
30OFR3ML,17,1.885,9.018567639
30OFR4ML,14,2.138,6.548175865
30OFR5ML,6,1.073,5.591798695
45OFR1ML,15,2.666,5.626406602
45OFR2ML,7,1.744,4.013761468
45OFR3ML,10,1.822,5.488474204
45OFR4ML,15,2.075,7.228915663
45OFR5ML,8,1.463,5.468215995
55OFR1ML,12,2.239,5.359535507
55OFR2ML,12,2.219,5.40784137
55OFR3ML,13,1.902,6.83491062
55OFR4ML,5,0.8,6.25
55OFR5ML,5,0.792,6.313131313
15OFR1T,19,2.513,7.560684441
15OFR2T,18,2.022,8.902077151
15OFR3T,22,2.949,7.460155985
15OFR4T,14,1.512,9.259259259
15OFR5T,11,2.165,5.080831409
30OFR1T,14,1.382,10.13024602
30OFR2T,17,2.669,6.369426752
30OFR3T,12,1.73,6.936416185
30OFR4T,9,0.995,9.045226131
30OFR5T,13,2.626,4.95049505
45OFR1T,19,2.361,8.047437526
45OFR2T,12,2.237,5.364327224
45OFR3T,7,1.35,5.185185185
45OFR4T,11,1.453,7.570543703
45OFR5T,6,1.138,5.272407733
45OFR6T,15,2.235,6.711409396
45OFR7T,10,1.977,5.058168943
45OFR8T,18,2.547,7.067137809
55OFR1T,13,1.873,6.940736786
55OFR2T,9,1.576,5.710659898
55OFR3T,19,3.109,6.111289804
55OFR4T,10,1.971,5.073566717
55OFR5T,15,2.221,6.753714543