Site Name ,ODY12081
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,12081


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,13/07/2021 , 10:10:00,174,174
2,13/07/2021 , 10:20:00,500,500
3,13/07/2021 , 10:30:00,1131,1131
4,13/07/2021 , 10:40:00,1309,1309
5,13/07/2021 , 10:50:00,866,866
6,13/07/2021 , 11:00:00,601,601
7,13/07/2021 , 11:10:00,616,616
8,13/07/2021 , 11:20:00,1281,1281
9,13/07/2021 , 11:30:00,1207,1207
10,13/07/2021 , 11:40:00,1125,1125
11,13/07/2021 , 11:50:00,1503,1503
12,13/07/2021 , 12:00:00,1585,1585
13,13/07/2021 , 12:10:00,1527,1527
14,13/07/2021 , 12:20:00,1527,1527
15,13/07/2021 , 12:30:00,1481,1481
16,13/07/2021 , 12:40:00,1558,1558
17,13/07/2021 , 12:50:00,1530,1530
18,13/07/2021 , 13:00:00,1098,1098
19,13/07/2021 , 13:10:00,1552,1552
20,13/07/2021 , 13:20:00,1494,1494
21,13/07/2021 , 13:30:00,1115,1115
22,13/07/2021 , 13:40:00,1106,1106
23,13/07/2021 , 13:50:00,1336,1336
24,13/07/2021 , 14:00:00,1010,1010
25,13/07/2021 , 14:10:00,658,658
26,13/07/2021 , 14:20:00,591,591
27,13/07/2021 , 14:30:00,764,764
28,13/07/2021 , 14:40:00,627,627
29,13/07/2021 , 14:50:00,873,873
30,13/07/2021 , 15:00:00,654,654
31,13/07/2021 , 15:10:00,356,356
32,13/07/2021 , 15:20:00,468,468
33,13/07/2021 , 15:30:00,460,460
34,13/07/2021 , 15:40:00,241,241
35,13/07/2021 , 15:50:00,308,308
36,13/07/2021 , 16:00:00,250,250
37,13/07/2021 , 16:10:00,202,202
38,13/07/2021 , 16:20:00,197,197
39,13/07/2021 , 16:30:00,235,235
40,13/07/2021 , 16:40:00,248,248
41,13/07/2021 , 16:50:00,281,281
42,13/07/2021 , 17:00:00,432,432
43,13/07/2021 , 17:10:00,277,277
44,13/07/2021 , 17:20:00,268,268
45,13/07/2021 , 17:30:00,195,195
46,13/07/2021 , 17:40:00,173,173
47,13/07/2021 , 17:50:00,105,105
48,13/07/2021 , 18:00:00,90,90
49,13/07/2021 , 18:10:00,88,88
50,13/07/2021 , 18:20:00,51,51
51,13/07/2021 , 18:30:00,30,30
52,13/07/2021 , 18:40:00,20,20
53,13/07/2021 , 18:50:00,16,16
54,13/07/2021 , 19:00:00,3,3
55,13/07/2021 , 19:10:00,0,0
56,13/07/2021 , 19:20:00,0,0
57,13/07/2021 , 19:30:00,0,0
58,13/07/2021 , 19:40:00,0,0
59,13/07/2021 , 19:50:00,0,0
60,13/07/2021 , 20:00:00,0,0
61,13/07/2021 , 20:10:00,0,0
62,13/07/2021 , 20:20:00,0,0
63,13/07/2021 , 20:30:00,0,0
64,13/07/2021 , 20:40:00,0,0
65,13/07/2021 , 20:50:00,0,0
66,13/07/2021 , 21:00:00,0,0
67,13/07/2021 , 21:10:00,0,0
68,13/07/2021 , 21:20:00,0,0
69,13/07/2021 , 21:30:00,0,0
70,13/07/2021 , 21:40:00,0,0
71,13/07/2021 , 21:50:00,0,0
72,13/07/2021 , 22:00:00,0,0
73,13/07/2021 , 22:10:00,0,0
74,13/07/2021 , 22:20:00,0,0
75,13/07/2021 , 22:30:00,0,0
76,13/07/2021 , 22:40:00,0,0
77,13/07/2021 , 22:50:00,0,0
78,13/07/2021 , 23:00:00,0,0
79,13/07/2021 , 23:10:00,0,0
80,13/07/2021 , 23:20:00,0,0
81,13/07/2021 , 23:30:00,0,0
82,13/07/2021 , 23:40:00,0,0
83,13/07/2021 , 23:50:00,0,0
84,13/07/2021 , 24:00:00,0,0
85,14/07/2021 , 00:10:00,0,0
86,14/07/2021 , 00:20:00,0,0
87,14/07/2021 , 00:30:00,0,0
88,14/07/2021 , 00:40:00,0,0
89,14/07/2021 , 00:50:00,0,0
90,14/07/2021 , 01:00:00,0,0
91,14/07/2021 , 01:10:00,0,0
92,14/07/2021 , 01:20:00,0,0
93,14/07/2021 , 01:30:00,0,0
94,14/07/2021 , 01:40:00,0,0
95,14/07/2021 , 01:50:00,0,0
96,14/07/2021 , 02:00:00,0,0
97,14/07/2021 , 02:10:00,0,0
98,14/07/2021 , 02:20:00,0,0
99,14/07/2021 , 02:30:00,0,0
100,14/07/2021 , 02:40:00,0,0
101,14/07/2021 , 02:50:00,0,0
102,14/07/2021 , 03:00:00,0,0
103,14/07/2021 , 03:10:00,0,0
104,14/07/2021 , 03:20:00,0,0
105,14/07/2021 , 03:30:00,0,0
106,14/07/2021 , 03:40:00,0,0
107,14/07/2021 , 03:50:00,0,0
108,14/07/2021 , 04:00:00,0,0
109,14/07/2021 , 04:10:00,0,0
110,14/07/2021 , 04:20:00,0,0
111,14/07/2021 , 04:30:00,0,0
112,14/07/2021 , 04:40:00,0,0
113,14/07/2021 , 04:50:00,0,0
114,14/07/2021 , 05:00:00,0,0
115,14/07/2021 , 05:10:00,0,0
116,14/07/2021 , 05:20:00,0,0
117,14/07/2021 , 05:30:00,0,0
118,14/07/2021 , 05:40:00,0,0
119,14/07/2021 , 05:50:00,0,0
120,14/07/2021 , 06:00:00,0,0
121,14/07/2021 , 06:10:00,9,9
122,14/07/2021 , 06:20:00,27,27
123,14/07/2021 , 06:30:00,53,53
124,14/07/2021 , 06:40:00,86,86
125,14/07/2021 , 06:50:00,125,125
126,14/07/2021 , 07:00:00,171,171
127,14/07/2021 , 07:10:00,222,222
128,14/07/2021 , 07:20:00,281,281
129,14/07/2021 , 07:30:00,343,343
130,14/07/2021 , 07:40:00,416,416
131,14/07/2021 , 07:50:00,492,492
132,14/07/2021 , 08:00:00,567,567
133,14/07/2021 , 08:10:00,644,644
134,14/07/2021 , 08:20:00,715,715
135,14/07/2021 , 08:30:00,773,773
136,14/07/2021 , 08:40:00,892,892
137,14/07/2021 , 08:50:00,983,983
138,14/07/2021 , 09:00:00,1071,1071
139,14/07/2021 , 09:10:00,1159,1159
140,14/07/2021 , 09:20:00,1244,1244
141,14/07/2021 , 09:30:00,1298,1298
142,14/07/2021 , 09:40:00,1371,1371
143,14/07/2021 , 09:50:00,1440,1440
144,14/07/2021 , 10:00:00,1523,1523
145,14/07/2021 , 10:10:00,1595,1595
146,14/07/2021 , 10:20:00,1682,1682
147,14/07/2021 , 10:30:00,1761,1761
148,14/07/2021 , 10:40:00,1797,1797
149,14/07/2021 , 10:50:00,1864,1864
150,14/07/2021 , 11:00:00,1926,1926
151,14/07/2021 , 11:10:00,1978,1978
152,14/07/2021 , 11:20:00,2017,2017
153,14/07/2021 , 11:30:00,2050,2050
154,14/07/2021 , 11:40:00,2084,2084
155,14/07/2021 , 11:50:00,2121,2121
156,14/07/2021 , 12:00:00,2148,2148
157,14/07/2021 , 12:10:00,2167,2167
158,14/07/2021 , 12:20:00,2171,2171
159,14/07/2021 , 12:30:00,2164,2164
160,14/07/2021 , 12:40:00,2174,2174
161,14/07/2021 , 12:50:00,2178,2178
162,14/07/2021 , 13:00:00,2146,2146
163,14/07/2021 , 13:10:00,2101,2101
164,14/07/2021 , 13:20:00,1269,1269
165,14/07/2021 , 13:30:00,1880,1880
166,14/07/2021 , 13:40:00,1926,1926
167,14/07/2021 , 13:50:00,1665,1665
168,14/07/2021 , 14:00:00,1596,1596
169,14/07/2021 , 14:10:00,1326,1326
170,14/07/2021 , 14:20:00,1218,1218
171,14/07/2021 , 14:30:00,657,657
172,14/07/2021 , 14:40:00,694,694
173,14/07/2021 , 14:50:00,762,762
174,14/07/2021 , 15:00:00,1056,1056
175,14/07/2021 , 15:10:00,897,897
176,14/07/2021 , 15:20:00,501,501
177,14/07/2021 , 15:30:00,769,769
178,14/07/2021 , 15:40:00,796,796
179,14/07/2021 , 15:50:00,465,465
180,14/07/2021 , 16:00:00,537,537
181,14/07/2021 , 16:10:00,780,780
182,14/07/2021 , 16:20:00,853,853
183,14/07/2021 , 16:30:00,893,893
184,14/07/2021 , 16:40:00,734,734
185,14/07/2021 , 16:50:00,604,604
186,14/07/2021 , 17:00:00,545,545
187,14/07/2021 , 17:10:00,204,204
188,14/07/2021 , 17:20:00,161,161
189,14/07/2021 , 17:30:00,116,116
190,14/07/2021 , 17:40:00,92,92
191,14/07/2021 , 17:50:00,90,90
192,14/07/2021 , 18:00:00,107,107
193,14/07/2021 , 18:10:00,119,119
194,14/07/2021 , 18:20:00,110,110
195,14/07/2021 , 18:30:00,89,89
196,14/07/2021 , 18:40:00,66,66
197,14/07/2021 , 18:50:00,48,48
198,14/07/2021 , 19:00:00,24,24
199,14/07/2021 , 19:10:00,4,4
200,14/07/2021 , 19:20:00,0,0
201,14/07/2021 , 19:30:00,0,0
202,14/07/2021 , 19:40:00,0,0
203,14/07/2021 , 19:50:00,0,0
204,14/07/2021 , 20:00:00,0,0
205,14/07/2021 , 20:10:00,0,0
206,14/07/2021 , 20:20:00,0,0
207,14/07/2021 , 20:30:00,0,0
208,14/07/2021 , 20:40:00,0,0
209,14/07/2021 , 20:50:00,0,0
210,14/07/2021 , 21:00:00,0,0
211,14/07/2021 , 21:10:00,0,0
212,14/07/2021 , 21:20:00,0,0
213,14/07/2021 , 21:30:00,0,0
214,14/07/2021 , 21:40:00,0,0
215,14/07/2021 , 21:50:00,0,0
216,14/07/2021 , 22:00:00,0,0
217,14/07/2021 , 22:10:00,0,0
218,14/07/2021 , 22:20:00,0,0
219,14/07/2021 , 22:30:00,0,0
220,14/07/2021 , 22:40:00,0,0
221,14/07/2021 , 22:50:00,0,0
222,14/07/2021 , 23:00:00,0,0
223,14/07/2021 , 23:10:00,0,0
224,14/07/2021 , 23:20:00,0,0
225,14/07/2021 , 23:30:00,0,0
226,14/07/2021 , 23:40:00,0,0
227,14/07/2021 , 23:50:00,0,0
228,14/07/2021 , 24:00:00,0,0
229,15/07/2021 , 00:10:00,0,0
230,15/07/2021 , 00:20:00,0,0
231,15/07/2021 , 00:30:00,0,0
232,15/07/2021 , 00:40:00,0,0
233,15/07/2021 , 00:50:00,0,0
234,15/07/2021 , 01:00:00,0,0
235,15/07/2021 , 01:10:00,0,0
236,15/07/2021 , 01:20:00,0,0
237,15/07/2021 , 01:30:00,0,0
238,15/07/2021 , 01:40:00,0,0
239,15/07/2021 , 01:50:00,0,0
240,15/07/2021 , 02:00:00,0,0
241,15/07/2021 , 02:10:00,0,0
242,15/07/2021 , 02:20:00,0,0
243,15/07/2021 , 02:30:00,0,0
244,15/07/2021 , 02:40:00,0,0
245,15/07/2021 , 02:50:00,0,0
246,15/07/2021 , 03:00:00,0,0
247,15/07/2021 , 03:10:00,0,0
248,15/07/2021 , 03:20:00,0,0
249,15/07/2021 , 03:30:00,0,0
250,15/07/2021 , 03:40:00,0,0
251,15/07/2021 , 03:50:00,0,0
252,15/07/2021 , 04:00:00,0,0
253,15/07/2021 , 04:10:00,0,0
254,15/07/2021 , 04:20:00,0,0
255,15/07/2021 , 04:30:00,0,0
256,15/07/2021 , 04:40:00,0,0
257,15/07/2021 , 04:50:00,0,0
258,15/07/2021 , 05:00:00,0,0
259,15/07/2021 , 05:10:00,0,0
260,15/07/2021 , 05:20:00,0,0
261,15/07/2021 , 05:30:00,0,0
262,15/07/2021 , 05:40:00,0,0
263,15/07/2021 , 05:50:00,0,0
264,15/07/2021 , 06:00:00,0,0
265,15/07/2021 , 06:10:00,13,13
266,15/07/2021 , 06:20:00,33,33
267,15/07/2021 , 06:30:00,66,66
268,15/07/2021 , 06:40:00,100,100
269,15/07/2021 , 06:50:00,150,150
270,15/07/2021 , 07:00:00,203,203
271,15/07/2021 , 07:10:00,265,265
272,15/07/2021 , 07:20:00,338,338
273,15/07/2021 , 07:30:00,416,416
274,15/07/2021 , 07:40:00,492,492
275,15/07/2021 , 07:50:00,553,553
276,15/07/2021 , 08:00:00,633,633
277,15/07/2021 , 08:10:00,836,836
278,15/07/2021 , 08:20:00,834,834
279,15/07/2021 , 08:30:00,1000,1000
280,15/07/2021 , 08:40:00,1077,1077
281,15/07/2021 , 08:50:00,1021,1021
282,15/07/2021 , 09:00:00,1160,1160
283,15/07/2021 , 09:10:00,1279,1279
284,15/07/2021 , 09:20:00,1385,1385
285,15/07/2021 , 09:30:00,1472,1472
286,15/07/2021 , 09:40:00,1583,1583
287,15/07/2021 , 09:50:00,1686,1686
288,15/07/2021 , 10:00:00,1762,1762
289,15/07/2021 , 10:10:00,1846,1846
290,15/07/2021 , 10:20:00,1898,1898
291,15/07/2021 , 10:30:00,1964,1964
292,15/07/2021 , 10:40:00,1981,1981
293,15/07/2021 , 10:50:00,2158,2158
294,15/07/2021 , 11:00:00,2235,2235
295,15/07/2021 , 11:10:00,2246,2246
296,15/07/2021 , 11:20:00,2403,2403
297,15/07/2021 , 11:30:00,2443,2443
298,15/07/2021 , 11:40:00,1717,1717
299,15/07/2021 , 11:50:00,1123,1123
300,15/07/2021 , 12:00:00,1263,1263
301,15/07/2021 , 12:10:00,2046,2046
302,15/07/2021 , 12:20:00,1882,1882
303,15/07/2021 , 12:30:00,2106,2106
304,15/07/2021 , 12:40:00,2008,2008
305,15/07/2021 , 12:50:00,1497,1497
306,15/07/2021 , 13:00:00,2490,2490
307,15/07/2021 , 13:10:00,2545,2545
308,15/07/2021 , 13:20:00,1739,1739
309,15/07/2021 , 13:30:00,2099,2099
310,15/07/2021 , 13:40:00,2034,2034
311,15/07/2021 , 13:50:00,2081,2081
312,15/07/2021 , 14:00:00,2157,2157
313,15/07/2021 , 14:10:00,2140,2140
314,15/07/2021 , 14:20:00,1321,1321
315,15/07/2021 , 14:30:00,971,971
316,15/07/2021 , 14:40:00,827,827
317,15/07/2021 , 14:50:00,756,756
318,15/07/2021 , 15:00:00,798,798
319,15/07/2021 , 15:10:00,701,701
320,15/07/2021 , 15:20:00,503,503
321,15/07/2021 , 15:30:00,529,529
322,15/07/2021 , 15:40:00,566,566
323,15/07/2021 , 15:50:00,566,566
324,15/07/2021 , 16:00:00,455,455
325,15/07/2021 , 16:10:00,601,601
326,15/07/2021 , 16:20:00,631,631
327,15/07/2021 , 16:30:00,427,427
328,15/07/2021 , 16:40:00,438,438
329,15/07/2021 , 16:50:00,474,474
330,15/07/2021 , 17:00:00,281,281
331,15/07/2021 , 17:10:00,297,297
332,15/07/2021 , 17:20:00,243,243
333,15/07/2021 , 17:30:00,176,176
334,15/07/2021 , 17:40:00,171,171
335,15/07/2021 , 17:50:00,135,135
336,15/07/2021 , 18:00:00,204,204
337,15/07/2021 , 18:10:00,138,138
338,15/07/2021 , 18:20:00,81,81
339,15/07/2021 , 18:30:00,52,52
340,15/07/2021 , 18:40:00,35,35
341,15/07/2021 , 18:50:00,26,26
342,15/07/2021 , 19:00:00,15,15
343,15/07/2021 , 19:10:00,3,3
344,15/07/2021 , 19:20:00,0,0
345,15/07/2021 , 19:30:00,0,0
346,15/07/2021 , 19:40:00,0,0
347,15/07/2021 , 19:50:00,0,0
348,15/07/2021 , 20:00:00,0,0
349,15/07/2021 , 20:10:00,0,0
350,15/07/2021 , 20:20:00,0,0
351,15/07/2021 , 20:30:00,0,0
352,15/07/2021 , 20:40:00,0,0
353,15/07/2021 , 20:50:00,0,0
354,15/07/2021 , 21:00:00,0,0
355,15/07/2021 , 21:10:00,0,0
356,15/07/2021 , 21:20:00,0,0
357,15/07/2021 , 21:30:00,0,0
358,15/07/2021 , 21:40:00,0,0
359,15/07/2021 , 21:50:00,0,0
360,15/07/2021 , 22:00:00,0,0
361,15/07/2021 , 22:10:00,0,0
362,15/07/2021 , 22:20:00,0,0
363,15/07/2021 , 22:30:00,0,0
364,15/07/2021 , 22:40:00,0,0
365,15/07/2021 , 22:50:00,0,0
366,15/07/2021 , 23:00:00,0,0
367,15/07/2021 , 23:10:00,0,0
368,15/07/2021 , 23:20:00,0,0
369,15/07/2021 , 23:30:00,0,0
370,15/07/2021 , 23:40:00,0,0
371,15/07/2021 , 23:50:00,0,0
372,15/07/2021 , 24:00:00,0,0
373,16/07/2021 , 00:10:00,0,0
374,16/07/2021 , 00:20:00,0,0
375,16/07/2021 , 00:30:00,0,0
376,16/07/2021 , 00:40:00,0,0
377,16/07/2021 , 00:50:00,0,0
378,16/07/2021 , 01:00:00,0,0
379,16/07/2021 , 01:10:00,0,0
380,16/07/2021 , 01:20:00,0,0
381,16/07/2021 , 01:30:00,0,0
382,16/07/2021 , 01:40:00,0,0
383,16/07/2021 , 01:50:00,0,0
384,16/07/2021 , 02:00:00,0,0
385,16/07/2021 , 02:10:00,0,0
386,16/07/2021 , 02:20:00,0,0
387,16/07/2021 , 02:30:00,0,0
388,16/07/2021 , 02:40:00,0,0
389,16/07/2021 , 02:50:00,0,0
390,16/07/2021 , 03:00:00,0,0
391,16/07/2021 , 03:10:00,0,0
392,16/07/2021 , 03:20:00,0,0
393,16/07/2021 , 03:30:00,0,0
394,16/07/2021 , 03:40:00,0,0
395,16/07/2021 , 03:50:00,0,0
396,16/07/2021 , 04:00:00,0,0
397,16/07/2021 , 04:10:00,0,0
398,16/07/2021 , 04:20:00,0,0
399,16/07/2021 , 04:30:00,0,0
400,16/07/2021 , 04:40:00,0,0
401,16/07/2021 , 04:50:00,0,0
402,16/07/2021 , 05:00:00,0,0
403,16/07/2021 , 05:10:00,0,0
404,16/07/2021 , 05:20:00,0,0
405,16/07/2021 , 05:30:00,0,0
406,16/07/2021 , 05:40:00,0,0
407,16/07/2021 , 05:50:00,0,0
408,16/07/2021 , 06:00:00,0,0
409,16/07/2021 , 06:10:00,9,9
410,16/07/2021 , 06:20:00,30,30
411,16/07/2021 , 06:30:00,57,57
412,16/07/2021 , 06:40:00,91,91
413,16/07/2021 , 06:50:00,133,133
414,16/07/2021 , 07:00:00,181,181
415,16/07/2021 , 07:10:00,203,203
416,16/07/2021 , 07:20:00,263,263
417,16/07/2021 , 07:30:00,353,353
418,16/07/2021 , 07:40:00,404,404
419,16/07/2021 , 07:50:00,493,493
420,16/07/2021 , 08:00:00,537,537
421,16/07/2021 , 08:10:00,685,685
422,16/07/2021 , 08:20:00,754,754
423,16/07/2021 , 08:30:00,799,799
424,16/07/2021 , 08:40:00,799,799
425,16/07/2021 , 08:50:00,785,785
426,16/07/2021 , 09:00:00,899,899
427,16/07/2021 , 09:10:00,1029,1029
428,16/07/2021 , 09:20:00,1065,1065
429,16/07/2021 , 09:30:00,1248,1248
430,16/07/2021 , 09:40:00,1326,1326
431,16/07/2021 , 09:50:00,1378,1378
432,16/07/2021 , 10:00:00,1387,1387
433,16/07/2021 , 10:10:00,1508,1508
434,16/07/2021 , 10:20:00,1562,1562
435,16/07/2021 , 10:30:00,1665,1665
436,16/07/2021 , 10:40:00,1725,1725
437,16/07/2021 , 10:50:00,1783,1783
438,16/07/2021 , 11:00:00,1835,1835
439,16/07/2021 , 11:10:00,1882,1882
440,16/07/2021 , 11:20:00,1915,1915
441,16/07/2021 , 11:30:00,1967,1967
442,16/07/2021 , 11:40:00,2007,2007
443,16/07/2021 , 11:50:00,2044,2044
444,16/07/2021 , 12:00:00,2065,2065
445,16/07/2021 , 12:10:00,2079,2079
