bag_number,date_collected,depth,act_depth,species,colony_number,site,colony_id,RI_status,NOTES,airbrush_date,airbrush_volume,airbrush_initials,aliquot_date,aliquot_initials,chl_box,host_PTAC_box,sym_PTAC_box,sym_density_box,ash_bag,skeleton_dry_date,skeleton_dry_initials,,,,,,
97/ PAN 87,8/12/21,30,30,OFAV,2,Turrumote,30OFA2T,Y,,7/19/22,28.0,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
108,8/17/21,30,30,OFAV,3,Turrumote,30OFA3T,Y,,7/19/22,37.0,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
117,8/17/21,30,30,OFAV,4,Turrumote,30OFA4T,Y,,7/19/22,17.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
119,8/17/21,30,28,OFAV,5,Turrumote,30OFA5T,Y,,7/19/22,25.5,HLE,7/19/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
24,8/10/21,45,46,OFAV,1,Turrumote,45OFA1T,Y,,7/25/22,19.0,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
29,8/10/21,45,47,OFAV,2,Turrumote,45OFA2T,Y,,7/19/22,20.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
48,8/12/21,45,45,OFAV,3,Turrumote,45OFA3T,Y,,7/19/22,30.5,HLE,7/19/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
52,8/12/21,45,44,OFAV,4,Turrumote,45OFA4T,Y,,7/25/22,20.0,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
53,8/12/21,45,45,OFAV,5,Turrumote,45OFA5T,Y,,7/19/22,22.0,HLE,7/19/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
54,8/12/21,45,45,OFAV,6,Turrumote,45OFA6T,Y,,7/19/22,35.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
75,8/12/21,55,54,OFAV,1,Turrumote,55OFA1T,Y,,7/20/22,26.5,HLE,7/20/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
85,8/12/21,55,55,OFAV,2,Turrumote,55OFA2T,Y,,7/25/22,23.5,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
103,8/17/21,55,55,OFAV,3,Turrumote,55OFA3T,Y,,7/20/22,30.5,HLE,7/20/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
105,8/17/21,55,53,OFAV,4,Turrumote,55OFA4T,Y,,7/19/22,17.5,HLE,7/19/22,HLE,13,14,15,16,L,7/27/22,HLE,,,,,,
106,8/17/21,55,53,OFAV,5,Turrumote,55OFA5T,Y,,7/25/22,20.0,HLE,7/25/22,HLE,13,14,15,16,M,7/27/22,HLE,,,,,,
307,8/23/21,15,25,OFRA,1,Media Luna,15OFR1ML,Y,,8/16/22,19.5,HLE,8/16/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
308,8/23/21,15,25,OFRA,2,Media Luna,15OFR2ML,Y,,8/16/22,21.0,HLE,8/16/22,HLE,13,14,15,16,O,11/1/22,HLE,,,,,,
310,8/23/21,15,25,OFRA,3,Media Luna,15OFR3ML,Y,,8/15/22,23.5,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
311,8/23/21,15,25,OFRA,4,Media Luna,15OFR4ML,Y,,8/15/22,25.0,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
312,8/23/21,15,26,OFRA,5,Media Luna,15OFR5ML,Y,,8/16/22,21.0,HLE,8/16/22,HLE,13,14,15,16,O,11/1/22,HLE,,,,,,
313,8/23/21,30,29,OFRA,1,Media Luna,30OFR1ML,Y,,8/22/22,30.0,HLE,8/22/22,HLE,17,17,17,17,O,11/1/22,HLE,,,,,,
317,8/23/21,30,32,OFRA,2,Media Luna,30OFR2ML,Y,,8/15/22,27.5,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
213,8/23/21,30,31,OFRA,3,Media Luna,30OFR3ML,Y,,8/16/22,26.5,HLE,8/16/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
332,8/23/21,30,36,OFRA,4,Media Luna,30OFR4ML,Y,,8/15/22,26.5,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
334,8/23/21,30,35,OFRA,5,Media Luna,30OFR5ML,Y,,8/16/22,30.5,HLE,8/16/22,HLE,13,14,15,16,O,11/1/22,HLE,,,,,,
345,8/23/21,45,45,OFRA,1,Media Luna,45OFR1ML,Y,,8/15/22,30.0,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
347,8/23/21,45,46,OFRA,2,Media Luna,45OFR2ML,Y,,8/15/22,21.5,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
371,8/24/21,45,45,OFRA,3,Media Luna,45OFR3ML,Y,,8/22/22,20.5,HLE,8/22/22,HLE,17,17,17,17,O,11/1/22,HLE,,,,,,
372,8/24/21,45,42,OFRA,4,Media Luna,45OFR4ML,Y,,8/15/22,32.0,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
373,8/24/21,45,45,OFRA,5,Media Luna,45OFR5ML,Y,,8/16/22,23.5,HLE,8/16/22,HLE,13,14,15,16,O,11/1/22,HLE,,,,,,
170,18-Aug,55,52,OFRA,1,Media Luna,55OFR1ML,Y,,8/16/22,25.0,HLE,8/16/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
187,8/19/21,55,60,OFRA,2,Media Luna,55OFR2ML,Y,,8/16/22,33.0,HLE,8/16/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
189,8/19/21,55,63,OFRA,3,Media Luna,55OFR3ML,Y,,8/15/22,25.5,HLE,8/15/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
193,8/19/21,55,60,OFRA,4,Media Luna,55OFR4ML,Y,,8/22/22,18.5,HLE,8/22/22,HLE,17,17,17,17,O,11/1/22,HLE,,,,,,
194,8/19/21,55,64,OFRA,5,Media Luna,55OFR5ML,Y,,8/22/22,22.5,HLE,8/22/22,HLE,17,17,17,17,O,11/1/22,HLE,,,,,,
266,8/20/21,15,15,OFRA,1,Turrumote,15OFR1T,Y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
270,8/20/21,15,18,OFRA,2,Turrumote,15OFR2T,Y,,7/28/22,23.5,HLE,7/28/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
271,8/20/21,15,19,OFRA,3,Turrumote,15OFR3T,Y,,7/25/22,23.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
273,8/20/21,15,22,OFRA,4,Turrumote,15OFR4T,Y,,7/25/22,33.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
274,8/20/21,15,27,OFRA,5,Turrumote,15OFR5T,Y,,7/25/22,20.0,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
116,8/17/21,30,30,OFRA,1,Turrumote,30OFR1T,Y,,7/25/22,26.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
118,8/17/21,30,30,OFRA,2,Turrumote,30OFR2T,Y,,7/25/22,25.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
126,8/17/21,30,30,OFRA,3,Turrumote,30OFR3T,Y,,7/27/22,22.0,HLE,7/27/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
127,8/17/21,30,30,OFRA,4,Turrumote,30OFR4T,Y,,7/28/22,20.5,HLE,7/28/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
257,8/20/21,30,30,OFRA,5,Turrumote,30OFR5T,Y,,7/25/22,22.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
11,8/10/21,45,48,OFRA,1,Turrumote,45OFR1T,Y,,7/25/22,19.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
15,8/10/21,45,45,OFRA,2,Turrumote,45OFR2T,Y,,7/28/22,22.0,HLE,7/28/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
21,8/10/21,45,46,OFRA,3,Turrumote,45OFR3T,Y,,7/25/22,17.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
27,8/10/21,45,46,OFRA,4,Turrumote,45OFR4T,Y,,7/26/22,25.0,HLE,7/26/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
31,8/10/21,45,45,OFRA,5,Turrumote,45OFR5T,Y,,7/26/22,17.0,HLE,7/26/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
35,8/10/21,45,46,OFRA,6,Turrumote,45OFR6T,Y,,7/27/22,24.0,HLE,7/27/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
40,8/10/21,45,47,OFRA,7,Turrumote,45OFR7T,Y,,7/28/22,26.5,HLE,7/28/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
46,8/10/21,45,47,OFRA,8,Turrumote,45OFR8T,Y,,7/28/22,24.5,HLE,7/28/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
64,8/12/21,55,53,OFRA,1,Turrumote,55OFR1T,Y,,7/27/22,23.5,HLE,7/27/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
68,8/12/21,55,53,OFRA,2,Turrumote,55OFR2T,Y,,7/28/22,17.0,HLE,7/28/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
79,8/12/21,55,52,OFRA,3,Turrumote,55OFR3T,Y,,7/26/22,43.5,HLE,7/26/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
83,8/12/21,55,54,OFRA,4,Turrumote,55OFR4T,Y,,7/28/22,19.5,HLE,7/28/22,HLE,13,14,15,16,N,11/1/22,HLE,,,,,,
104,8/17/21,55,55,OFRA,5,Turrumote,55OFR5T,Y,,7/25/22,33.5,HLE,7/25/22,HLE,13,14,15,16,M,11/1/22,HLE,,,,,,
128,18-Aug,15,15,PAST,1,Media Luna,15PA1ML,Y,,5/31/23,16.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
130,18-Aug,15,15,PAST,2,Media Luna,15PA2ML,Y,,5/31/23,15.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
132,18-Aug,15,13,PAST,3,Media Luna,15PA3ML,Y,,5/31/23,15.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
133,18-Aug,15,13,PAST,4,Media Luna,15PA4ML,Y,,5/31/23,22.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
136,18-Aug,15,14,PAST,5,Media Luna,15PA5ML,Y,,5/31/23,15.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
315,8/23/21,30,29,PAST,1,Media Luna,30PA1ML,Y,,5/31/23,27.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
316,8/23/21,30,32,PAST,2,Media Luna,30PA2ML,MISSING ,,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
217,8/23/21,30,31,PAST,3,Media Luna,30PA3ML,Y,,5/31/23,19.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
322,8/23/21,30,33,PAST,4,Media Luna,30PA4ML,Y,,5/31/23,19.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
326,8/23/21,30,31,PAST,5,Media Luna,30PA5ML,Y,,5/31/23,13.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
336,8/23/21,45,45,PAST,1,Media Luna,45PA1ML,Y,,5/31/23,23.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
340,8/23/21,45,44,PAST,2,Media Luna,45PA2ML,Y,,5/31/23,21.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
351,8/23/21,45,46,PAST,3,Media Luna,45PA3ML,Y,,5/31/23,15.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
354,8/23/21,45,48,PAST,4,Media Luna,45PA4ML,Y,,5/31/23,37.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
360,8/24/21,45,40,PAST,5,Media Luna,45PA5ML,Y,,5/31/23,18.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
167,18-Aug,55,54,PAST,1,Media Luna,55PA1ML,Y,,5/31/23,25.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
172,18-Aug,55,50,PAST,2,Media Luna,55PA2ML,Y,,5/31/23,13.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
178,8/19/21,55,62,PAST,3,Media Luna,55PA3ML,Y,,5/31/23,26.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
184,8/19/21,55,61,PAST,4,Media Luna,55PA4ML,Y,,5/31/23,33.0,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
186,8/19/21,55,65,PAST,5,Media Luna,55PA5ML,Y,,5/31/23,15.5,HLE,5/31/23,HLE,,,,,PAST,,,,,,,,
3,8/6/21,15,15,PAST,1,Turrumote,15PA1AT,Y,,6/1/23,13.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
3,8/6/21,15,15,PAST,1,Turrumote,15PA1BT,Y,,6/1/23,16.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
202,8/20/21,15,18,PAST,2,Turrumote,15PA2T,Y,,6/1/23,23.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
204,8/20/21,15,15,PAST,3,Turrumote,15PA3T,Y,,6/1/23,22.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
205,8/20/21,15,15,PAST,4,Turrumote,15PA4T,Y,,6/1/23,19.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
451,8/25/21,15,16,PAST,5,Turrumote,15PA5T,MISSING ,,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
93/ PAN 83,8/12/21,30,30,PAST,1,Turrumote,30PA1T,Y,,6/1/23,21.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
95/ PAN 85,8/12/21,30,31,PAST,2,Turrumote,30PA2T,Y,,6/1/23,18.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
110,8/17/21,30,30,PAST,3,Turrumote,30PA3T,Y,,6/1/23,17.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
255,8/20/21,30,30,PAST,4,Turrumote,30PA4T,Y,,6/1/23,13.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
256,8/20/21,30,29,PAST,5,Turrumote,30PA5T,Y,,6/1/23,27.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
19,8/10/21,45,45,PAST,1,Turrumote,45PA1,Y,,6/1/23,14.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
22,8/10/21,45,46,PAST,2,Turrumote,45PA2T,Y,,6/1/23,23.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
33,8/10/21,45,45,PAST,3,Turrumote,45PA3,Y,,6/1/23,16.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
38,8/10/21,45,44,PAST,4,Turrumote,45PA4,Y,,6/1/23,23.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
49,8/12/21,45,46,PAST,5,Turrumote,45PA5T,Y,,6/2/21,30.0,HLE,6/2/21,HLE,,,,,PAST,,,,,,,,
51,8/12/21,45,44,PAST,6,Turrumote,45PA6T,Y,,6/1/23,17.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
58,8/12/21,55,53,PAST,1,Turrumote,55PA1T,Y,,6/1/23,40.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
70,8/12/21,55,52,PAST,2,Turrumote,55PA2T,Y,,6/1/23,16.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
74,8/12/21,55,55,PAST,3,Turrumote,55PA3,Y,,6/1/23,14.5,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
76,8/12/21,55,52,PAST,4,Turrumote,55PA4T,Y,,6/1/23,24.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
280,8/20/21,55,50,PAST,5,Turrumote,55PA5T,Y,,6/1/23,17.0,HLE,6/1/23,HLE,,,,,PAST,,,,,,,,
129,18-Aug,15,16,PPOR,1,Media Luna,15PP1ML,Y,,5/30/23,15.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
131,18-Aug,15,15,PPOR,2,Media Luna,15PP2ML,Y,,5/30/23,31.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
135,18-Aug,15,14,PPOR,3,Media Luna,15PP3ML,Y,,5/30/23,20.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
137,18-Aug,15,14,PPOR,4,Media Luna,15PP4ML,Y,,5/30/23,15.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
138,18-Aug,15,16,PPOR,5,Media Luna,15PP5ML,Y,,5/30/23,34.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
314,8/23/21,30,29,PPOR,1,Media Luna,30PP1ML,NO,I think 30PP1ML and 45PP1ML got mixed up. ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,Missing? ,
319,8/23/21,30,31,PPOR,2,Media Luna,30PP2ML,Y,,5/30/23,16.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
215,8/23/21,30,30,PPOR,3,Media Luna,30PP3ML,Y,,5/30/23,36.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
219,8/23/21,30,31,PPOR,4,Media Luna,30PP4ML,Y,,5/30/23,14.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
324,8/23/21,30,33,PPOR,5,Media Luna,30PP5ML,Y,,5/30/23,22.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
341,8/23/21,45,44,PPOR,1,Media Luna,45PP1ML,Y,I think 30PP1ML and 45PP1ML got mixed up. ,5/30/23,23.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
346,8/23/21,45,46,PPOR,2,Media Luna,45PP2ML,Y,,5/30/23,14.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
349,8/23/21,45,46,PPOR,3,Media Luna,45PP3ML,y,,5/30/23,16.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
365,8/24/21,45,45,PPOR,4,Media Luna,45PP4ML,Y,,5/30/23,15.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
370,8/24/21,45,44,PPOR,5,Media Luna,45PP5ML,Y,,5/30/23,20.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
162,18-Aug,55,57,PPOR,1,Media Luna,55PP1ML,Y,,5/30/23,14.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
165,18-Aug,55,54,PPOR,2,Media Luna,55PP2ML,Y,,5/30/23,15.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
169,18-Aug,55,52,PPOR,3,Media Luna,55PP3ML,Y,,5/30/23,23.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
174,8/19/21,55,56,PPOR,4,Media Luna,55PP4ML,Y,,5/30/23,15.0,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
179,8/19/21,55,59,PPOR,5,Media Luna,55PP5ML,Y,,5/30/23,17.5,HLE,5/30/23,HLE,,,,,PPOR,,,,,,,,
9,8/6/21,15,15,PPOR,1,Turrumote,15PP1AT,Y,,2/7/23,23.0,HLE,2/7/23,HLE,,,,,PPOR,,,,,,,,
9,8/6/21,15,15,PPOR,1,Turrumote,15PP1BT,Y,,2/23/23,20.0,HLE,2/23/23,HLE,,,,,PPOR,,,,,,,,
203,8/20/21,15,18,PPOR,2,Turrumote,15PP2T,Y,"there might be 2 of these, 23 ml for the other one. ",2/7/23,26.0,HLE,2/7/23,HLE,,,,,PPOR,,,,,,,,
209,8/20/21,15,15,PPOR,3,Turrumote,15PP3T,Y,,2/27/23,28.0,HLE,2/27/23,HLE,,,,,PPOR,,,,,,,,
262,8/20/21,15,15,PPOR,4,Turrumote,15PP4T,Y,,2/27/23,20.0,HLE,2/27/23,HLE,,,,,PPOR,,,,,,,,
267,8/20/21,15,15,PPOR,5,Turrumote,15PP5T,Y,,2/17/23,16.0,HLE,2/17/23,HLE,,,,,PPOR,,,,,,,,
90,8/12/21,30,30,PPOR,1,Turrumote,30PP1T,Y,,2/17/23,17.0,HLE,2/17/23,HLE,,,,,PPOR,,,,,,,,
96/ PAN 86,8/12/21,30,31,PPOR,2,Turrumote,30PP2T,Y,,2/23/23,26.0,HLE,2/23/23,HLE,,,,,PPOR,,,,,,,,
102/ PAN 92,8/12/21,30,30,PPOR,3,Turrumote,30PP3T,Y,,3/10/23,39.0,HLE,3/10/23,HLE,,,,,PPOR,,,,,,,,
109,8/17/21,30,30,PPOR,4,Turrumote,30PP4T,Y,,2/27/23,40.0,HLE,2/27/23,HLE,,,,,PPOR,,,,,,,,
113,8/17/21,30,30,PPOR,5,Turrumote,30PP5T,Y,,2/17/23,20.0,HLE,2/17/23,HLE,,,,,PPOR,,,,,,,,
17,8/10/21,45,47,PPOR,1,Turrumote,45PP1T,Y,,2/23/23,15.0,HLE,2/23/23,HLE,,,,,PPOR,,,,,,,,
32,8/10/21,45,45,PPOR,2,Turrumote,45PP2T,Y,,2/23/23,25.0,HLE,2/23/23,HLE,,,,,PPOR,,,,,,,,
36,8/10/21,45,46,PPOR,3,Turrumote,45PP3T,Y,,3/10/23,20.0,HLE,3/10/23,HLE,,,,,PPOR,,,,,,,,
37,8/10/21,45,46,PPOR,4,Turrumote,45PP4T,Y,,2/17/23,16.0,HLE,2/17/23,HLE,,,,,PPOR,,,,,,,,
41,8/10/21,45,47,PPOR,5,Turrumote,45PP5T,Y,,6/17/23,20.0,HLE,6/17/23,HLE,,,,,PPOR,,,,,,,,
44,8/10/21,45,44,PPOR,6,Turrumote,45PP6T,Y,,3/10/23,17.0,HLE,3/10/23,HLE,,,,,PPOR,,,,,,,,
47,8/10/21,45,47,PPOR,7,Turrumote,45PP7T,Y,,2/7/23,34.0,HLE,2/7/23,HLE,,,,,PPOR,,,,,,,,
57,8/12/21,55,54,PPOR,1,Turrumote,55PP1T,Y,,2/17/23,25.0,HLE,2/17/23,HLE,,,,,PPOR,,,,,,,,
63,8/12/21,55,53,PPOR,2,Turrumote,55PP2T,Y,,2/20/23,26.0,HLE,2/20/23,HLE,,,,,PPOR,,,,,,,,
82,8/12/21,55,54,PPOR,3,Turrumote,55PP3T,Y,,3/10/23,26.0,HLE,3/10/23,HLE,,,,,PPOR,,,,,,,,
86,8/12/21,55,56,PPOR,4,Turrumote,55PP4T,Y,,2/17/23,18.0,HLE,2/17/23,HLE,,,,,PPOR,,,,,,,,
88,8/12/21,55,53,PPOR,5,Turrumote,55PP5T,Y,,2/17/23,16.0,HLE,2/17/23,HLE,,,,,PPOR,,,,,,,,
89,8/12/21,55,52,PPOR,6,Turrumote,55PP6T,Y,,2/7/23,34.0,HLE,2/7/23,HLE,,,,,PPOR,,,,,,,,
107,8/17/21,55,57,PPOR,7,Turrumote,55PP7T,Y,,3/10/23,15.0,HLE,3/10/23,HLE,,,,,PPOR,,,,,,,,